group_id,sha256_short,risk_level,record_count,splits,classes,record_relative_paths,suggested_action,decision_status,chosen_class,action,remove_relative_paths,move_to_class,reviewer,reviewed_at,decision_note
cross_class_011,53c1f2f48157b601,label_conflict,2,"{""train"": 2}",白茅根;芦根,train\白茅根\BaimaogenBaimaogenBaimaogen46.jpg;train\芦根\Lugen52.jpg,人工核对图片真实类别；若 白茅根、芦根 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_012,574acedba57fc9b9,label_conflict,2,"{""train"": 2}",白茅根;芦根,train\白茅根\BaimaogenBaimaogenBaimaogen114.jpg;train\芦根\Lugen41.jpg,人工核对图片真实类别；若 白茅根、芦根 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_013,5761ab58f7e9690d,label_conflict,2,"{""val"": 2}",甘草;黄芪,val\甘草\GancaoGancaoGancaoGancao_11.jpg;val\黄芪\HuangqiHuangqi1.jpg,人工核对图片真实类别；若 甘草、黄芪 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_014,5ff229f40ca3aa6c,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya23.jpg;train\谷芽\GuyaGuya106.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_015,68e5cce2ae832fa6,label_conflict,2,"{""train"": 2}",芥子;莱菔子,train\芥子\Jiezi23.jpg;train\莱菔子\Laifuzi18.jpg,人工核对图片真实类别；若 芥子、莱菔子 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_016,6ad9e95745b9f0ea,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya44.jpg;train\谷芽\GuyaGuya43.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_017,8060ab98f2c791b8,label_conflict,2,"{""train"": 2}",五加皮;藁本,train\五加皮\WujiapiWujiapiWujiapiWujiapi_106.jpg;train\藁本\GaobenGaobenGaobenGaoben_90.jpg,人工核对图片真实类别；若 五加皮、藁本 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_018,821079cee422b6cb,label_conflict,2,"{""train"": 2}",浙贝母;湖北贝母,train\浙贝母\ZhebeimuZhebeimuZhebeimuZhebeimu_21.jpg;train\湖北贝母\Hubeibeimu100.jpg,人工核对图片真实类别；若 浙贝母、湖北贝母 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_019,86d5dbcb033a4eb4,label_conflict,2,"{""train"": 2}",白茅根;芦根,train\白茅根\BaimaogenBaimaogenBaimaogen95.jpg;train\芦根\Lugen63.jpg,人工核对图片真实类别；若 白茅根、芦根 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_020,87a1c53dbae6f5ce,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya50.jpg;train\谷芽\GuyaGuya104.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_021,8fbe1d8732f52265,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya57.jpg;train\谷芽\GuyaGuya60.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_022,9d55250b1e50086f,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya52.jpg;train\谷芽\GuyaGuya53.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_023,a2c8e9e199984ec1,label_conflict,2,"{""val"": 2}",稻芽;谷芽,val\稻芽\DaoyaDaoya14.jpg;val\谷芽\GuyaGuya19.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_024,b5e70e43a91efb70,label_conflict,2,"{""train"": 2}",瓦楞子;自然铜,train\瓦楞子\Walengzi14.jpg;train\自然铜\Zirantong87.jpg,人工核对图片真实类别；若 瓦楞子、自然铜 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_025,b639fb7ce6f299f3,label_conflict,2,"{""train"": 2}",橘核;苍术,train\橘核\Juhe74.jpg;train\苍术\CangzhuCangzhuCangzhuCangzhu_6.jpg,人工核对图片真实类别；若 橘核、苍术 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_026,bd6759cb266cd873,label_conflict,2,"{""train"": 2}",橘核;荔枝核,train\橘核\Juhe60.jpg;train\荔枝核\Lizhihe113.jpg,人工核对图片真实类别；若 橘核、荔枝核 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_027,d522a63b5a4d1648,label_conflict,2,"{""train"": 2}",白茅根;芦根,train\白茅根\BaimaogenBaimaogenBaimaogen101.jpg;train\芦根\Lugen47.jpg,人工核对图片真实类别；若 白茅根、芦根 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_028,d6c8bd74882ff5af,label_conflict,2,"{""train"": 2}",橘核;荔枝核,train\橘核\Juhe97.jpg;train\荔枝核\Lizhihe119.jpg,人工核对图片真实类别；若 橘核、荔枝核 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_029,e40dad2fb61f4e48,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya38.jpg;train\谷芽\GuyaGuya58.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_030,edabc03375fca683,label_conflict,2,"{""train"": 2}",白茅根;芦根,train\白茅根\BaimaogenBaimaogenBaimaogen62.jpg;train\芦根\Lugen95.jpg,人工核对图片真实类别；若 白茅根、芦根 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_031,f1c41162e031474c,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya102.jpg;train\谷芽\GuyaGuya107.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_032,f4cdc9c1d5fc653b,label_conflict,2,"{""train"": 2}",白茅根;芦根,train\白茅根\BaimaogenBaimaogenBaimaogen89.jpg;train\芦根\Lugen97.jpg,人工核对图片真实类别；若 白茅根、芦根 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_033,f599e26535367aae,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya85.jpg;train\谷芽\GuyaGuya38.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_034,fe1923297ff9424c,label_conflict,2,"{""train"": 2}",北沙参;麦冬,train\北沙参\BeishashenBeishashenBeishashen64.jpg;train\麦冬\Maidong112.jpg,人工核对图片真实类别；若 北沙参、麦冬 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
